_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,0,4,4
2,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,20,183,203
3,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,,,0
4,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,,,0
5,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,101,434,535
6,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,0,3,3
12,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,,,0
15,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,112,1301,1413
18,April,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,24,25
20,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,18,103,121
21,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,4,4
22,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,,,0
23,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,39,173,212
24,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,,,0
25,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,9,177,186
26,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,MATA,,,0
27,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PKPR,,,0
28,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Poli PCR-SWAB,,,0
29,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,0,1,1
30,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PTRM,,,0
31,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,RAWAT INAP,,,0
32,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,,,0
33,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,STD,,,0
34,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,TBC/PARU,,,0
35,April,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,117,453,570
