_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,2,5,7
2,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,59,282,341
3,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,1,1
4,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,1,0,1
5,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,142,568,710
6,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,2,11,13
12,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,,,0
15,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,195,1747,1942
18,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,4,63,67
20,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,42,206,248
21,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,3,3
22,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,,,0
23,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,77,204,281
24,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,,,0
25,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,11,254,265
26,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,MATA,,,0
27,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PKPR,,,0
28,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Poli PCR-SWAB,,,0
29,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,2,7,9
30,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PTRM,,,0
31,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,RAWAT INAP,,,0
32,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,,,0
33,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,STD,,,0
34,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,TBC/PARU,,,0
35,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,153,712,865
36,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,VCT,,,0
37,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,2,36,38
38,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,48,379,427
39,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,5,5
40,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,12,7,19
41,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,108,450,558
42,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,LABORATORIUM,2,7,9
43,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,18,453,471
44,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,MATA,,,0
45,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,,,0
46,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,Poli PCR-SWAB,,,0
47,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,17,23,40
48,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,PTRM,,,0
49,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,1,7,8
50,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,SANITASI,,,0
51,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,STD,,,0
52,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,TBC/PARU,1,82,83
53,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,230,1122,1352
54,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,VCT,,,0
55,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,3,25,28
56,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,40,293,333
57,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,5,17,22
58,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,INSTALASI GAWAT DARURAT,,,0
59,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,58,383,441
60,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LABORATORIUM,,,0
61,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,6,158,164
62,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,MATA,,,0
63,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PKPR,,,0
64,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Poli PCR-SWAB,,,0
65,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,4,11,15
66,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PTRM,,,0
67,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,RAWAT INAP,,,0
68,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,SANITASI,,,0
69,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,STD,,,0
70,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,TBC/PARU,,,0
71,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,124,1025,1149
72,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,VCT,,,0
73,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,2,8,10
74,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,54,319,373
75,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,,,0
76,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,2,8,10
77,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,132,859,991
78,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LABORATORIUM,,,0
79,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,,,0
80,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,MATA,,,0
81,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,65,47,112
82,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Poli PCR-SWAB,,,0
83,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,1,9,10
84,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PTRM,,,0
85,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,,,0
86,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,SANITASI,,,0
87,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,STD,,,0
88,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,TBC/PARU,36,239,275
89,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,320,2630,2950
90,Agustus,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,VCT,,,0
91,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,0,4,4
92,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,80,601,681
93,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,23,66,89
94,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,INSTALASI GAWAT DARURAT,1,0,1
95,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,168,935,1103
96,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,LABORATORIUM,,,0
97,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,10,603,613
98,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,MATA,,,0
99,Agustus,Surabaya Barat,Pakal,Puskesmas Benowo,PKPR,,,0
