_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
1,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,6,26,32
2,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,68,422,490
3,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,3,3
4,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,164,709,873
5,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,5,463,468
6,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,3,3,6
7,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,3,3
8,Agustus,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,261,2166,2427
9,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,3,73,76
10,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,66,313,379
11,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,8,8
12,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,83,429,512
13,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,30,351,381
14,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,4,16,20
15,Agustus,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,191,962,1153
16,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,2,36,38
17,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,56,409,465
18,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,9,10
19,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,15,6,21
20,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,184,704,888
21,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,9,596,605
22,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,0,72,72
23,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,PALIATIF,0,15,15
24,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,2,13,15
25,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,1,4,5
26,Agustus,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,292,1470,1762
27,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,1,41,42
28,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,47,326,373
29,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,1,6,7
30,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,12,86,98
31,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,63,455,518
32,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,13,219,232
33,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,18,33,51
34,Agustus,Surabaya Selatan,Lakarsantri,Puskesmas Bangkingan,SANITASI,0,6,6
