_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,6,31,37
2,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,96,347,443
3,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,2,8,10
4,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,185,707,892
5,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,4,13,17
6,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,3,3
7,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,224,1954,2178
8,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,2,54,56
9,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,FARMASI,0,1,1
10,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,40,237,277
11,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,3,8,11
12,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,65,312,377
13,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,1,0,1
14,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,14,260,274
15,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,3,13,16
16,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,3,8,11
17,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,152,763,915
18,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,1,36,37
19,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,51,338,389
20,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,0,1
21,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,15,6,21
22,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,134,626,760
23,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,LABORATORIUM,1,4,5
