_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
1,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,2,26,28
2,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,70,481,551
3,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,1,7,8
4,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,133,711,844
5,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,12,401,413
6,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,2,5,7
7,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,1,0,1
8,Desember,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,465,2686,3151
9,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,36,37
10,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,37,282,319
11,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,3,15,18
12,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,74,343,417
13,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,13,308,321
14,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,3,9,12
15,Desember,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,217,1099,1316
16,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,2,16,18
17,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,39,454,493
18,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,5,5
19,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,13,11,24
20,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,133,664,797
21,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,11,529,540
22,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,1,46,47
23,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,2,0,2
24,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,9,24,33
25,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,0,1,1
26,Desember,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,369,1969,2338
27,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,1,66,67
28,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,26,264,290
29,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,0,8,8
30,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,7,74,81
31,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,36,422,458
32,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,5,216,221
33,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,13,21,34
34,Desember,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,132,1314,1446
35,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,0,11,11
36,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,42,394,436
37,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,0,4,4
38,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,57,178,235
39,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,114,907,1021
40,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,33,876,909
41,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PARU,6,217,223
42,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,39,28,67
43,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,3,22,25
44,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,2,16,18
45,Desember,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,493,3154,3647
46,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,0,14,14
47,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,60,637,697
48,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,20,75,95
49,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,INSTALASI GAWAT DARURAT,1,0,1
50,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,126,1000,1126
51,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,18,686,704
52,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,1,6,7
53,Desember,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,425,2512,2937
54,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,2,42,44
55,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,44,598,642
56,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,3,33,36
57,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,2,5,7
58,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,156,1207,1363
59,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,29,758,787
60,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,0,5,5
61,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,2,22,24
62,Desember,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,365,2366,2731
63,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,BATRA,3,36,39
64,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,37,209,246
65,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,0,7,7
66,Desember,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,127,581,708
