_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,6,3,9
2,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,51,252,303
3,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,3,3
4,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,,,0
5,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,111,452,563
6,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,7,8
12,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,1,1
15,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,183,1493,1676
18,Juli,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,5,36,41
20,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,50,198,248
21,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,6,6
22,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,,,0
23,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,41,184,225
24,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,0,2,2
25,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,10,232,242
26,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,MATA,,,0
27,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PKPR,,,0
28,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Poli PCR-SWAB,,,0
29,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,0,5,5
30,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PTRM,,,0
31,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,RAWAT INAP,,,0
32,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,,,0
33,Juli,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,STD,,,0
