_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,7,39,46
2,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,90,456,546
3,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,2,6,8
4,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,254,741,995
5,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,11,413,424
6,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,12,13
7,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,1,1
8,Juni,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,308,1956,2264
9,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,27,28
10,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,60,322,382
11,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,4,6,10
12,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,87,336,423
13,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,26,342,368
14,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,5,18,23
15,Juni,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,5,20,25
16,Juni,Surabaya Barat,Wiyung,Puskesmas Balas Klumprik,UMUM,157,786,943
17,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,0,21,21
18,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,47,454,501
19,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,1,2
20,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,5,5,10
21,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,146,714,860
22,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,15,572,587
23,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,5,66,71
24,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,PALIATIF,19,75,94
25,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,1,15,16
26,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,4,8,12
27,Juni,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,236,1424,1660
28,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,3,33,36
29,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,59,327,386
30,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,32,51,83
31,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,7,82,89
32,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,83,421,504
33,Juni,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,15,273,288
34,Juni,Surabaya Selatan,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,31,36,67
35,Juni,Surabaya Selatan,Lakarsantri,Puskesmas Bangkingan,UMUM,94,1099,1193
36,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,0,16,16
37,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,62,392,454
38,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,0,2,2
39,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,26,45,71
40,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,104,646,750
41,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,33,697,730
42,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PARU,17,177,194
43,Juni,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,64,72,136
44,Juni,Surabaya Barat,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,2,25,27
45,Juni,Surabaya Barat,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,1,0,1
46,Juni,Surabaya Barat,Sawahan,Puskesmas Banyu Urip,UMUM,307,2791,3098
47,Juni,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,2,4,6
48,Juni,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,137,743,880
49,Juni,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,53,87,140
50,Juni,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,241,1077,1318
51,Juni,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,12,804,816
52,Juni,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,5,9,14
53,Juni,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,227,2262,2489
54,Juni,Surabaya Barat,Kenjeran,Puskesmas Bulak Banteng,BATRA,3,28,31
55,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,65,486,551
56,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,8,24,32
57,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,15,28,43
58,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,182,918,1100
59,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,17,304,321
60,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,7,23,30
61,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,6,19,25
62,Juni,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,245,1873,2118
63,Juni,Surabaya Utara,Tegalsari,Puskesmas Dr. Soetomo,BATRA,2,14,16
64,Juni,Surabaya Utara,Tegalsari,Puskesmas Dr. Soetomo,GIGI,62,217,279
65,Juni,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,0,4,4
66,Juni,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,171,682,853
