_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,0,3,3
2,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,37,201,238
3,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,1,1
4,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,,,0
5,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,128,434,562
6,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,2,8,10
12,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,,,0
15,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,122,1394,1516
18,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,2,15,17
20,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,22,146,168
21,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,3,6,9
22,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,,,0
23,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,46,176,222
24,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,,,0
25,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,7,240,247
26,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,MATA,,,0
27,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PKPR,,,0
28,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Poli PCR-SWAB,,,0
29,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,4,5,9
30,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PTRM,,,0
31,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,RAWAT INAP,,,0
32,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,,,0
33,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,STD,,,0
34,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,TBC/PARU,,,0
35,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,124,498,622
36,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,VCT,,,0
37,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,1,11,12
38,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,31,269,300
39,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,1,1
40,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,1,3,4
41,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,91,412,503
42,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,LABORATORIUM,,,0
43,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,8,471,479
44,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,MATA,,,0
45,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,,,0
46,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,Poli PCR-SWAB,,,0
47,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,22,3,25
48,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,PTRM,,,0
49,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,0,4,4
50,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,SANITASI,,,0
51,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,STD,,,0
52,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,TBC/PARU,3,73,76
53,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,210,876,1086
54,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,VCT,,,0
55,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,2,14,16
56,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,10,255,265
57,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,,,0
58,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,INSTALASI GAWAT DARURAT,,,0
59,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,47,289,336
60,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LABORATORIUM,,,0
