_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,8,43,51
2,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,73,364,437
3,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,2,5,7
4,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,160,686,846
5,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,11,313,324
6,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,3,13,16
7,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,2,7,9
8,Maret,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,314,1806,2120
9,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,3,57,60
10,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,44,293,337
11,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,5,5
12,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,60,328,388
13,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,12,297,309
14,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,7,19,26
15,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,2,21,23
16,Maret,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,166,833,999
17,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,0,21,21
18,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,36,389,425
19,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,1,2
20,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,10,2,12
21,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,141,678,819
22,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,7,497,504
23,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,1,59,60
24,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,PALIATIF,25,25,50
25,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,29,21,50
26,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,1,9,10
27,Maret,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,258,1320,1578
28,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,0,40,40
29,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,41,315,356
30,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,14,33,47
31,Maret,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,7,68,75
