_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,1,17,18
2,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,52,380,432
3,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,1,1,2
4,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,118,602,720
5,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,8,415,423
6,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,0,16,16
7,Mei,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,1,2
8,Mei,Surabaya Selatan,Asem Rowo,Puskesmas Asemrowo,UMUM,190,1810,2000
9,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,22,23
10,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,37,281,318
11,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,1,16,17
12,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,71,305,376
13,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,11,263,274
14,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,0,2,2
15,Mei,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,121,814,935
16,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,0,2,2
17,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,27,350,377
18,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,4,4
19,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,14,12,26
20,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,136,666,802
21,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,7,537,544
22,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,1,55,56
23,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,1,9,10
24,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,0,2,2
25,Mei,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,167,1315,1482
26,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,2,28,30
27,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,20,229,249
28,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,1,9,10
29,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,1,71,72
30,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,45,327,372
31,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,10,198,208
32,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,9,38,47
33,Mei,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,84,845,929
34,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,41,382,423
35,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,0,1,1
36,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,65,232,297
37,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,79,882,961
38,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,22,827,849
39,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,6,185,191
40,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PARU,51,54,105
41,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,2,14,16
42,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,1,16,17
43,Mei,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,204,2482,2686
44,Mei,Surabaya Barat,Sawahan,Puskesmas Banyu Urip,UMUM,0,7,7
45,Mei,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,46,628,674
46,Mei,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,7,49,56
47,Mei,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,133,858,991
48,Mei,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,24,698,722
49,Mei,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,2,10,12
50,Mei,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,0,1,1
51,Mei,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,155,1794,1949
52,Mei,Surabaya Barat,Kenjeran,Puskesmas Bulak Banteng,BATRA,3,17,20
53,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,51,445,496
54,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,1,15,16
55,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,2,3,5
56,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,113,1093,1206
57,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,9,611,620
58,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,1,14,15
59,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,5,31,36
60,Mei,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,173,1600,1773
61,Mei,Surabaya Utara,Tegalsari,Puskesmas Dr. Soetomo,BATRA,1,6,7
62,Mei,Surabaya Utara,Tegalsari,Puskesmas Dr. Soetomo,GIGI,37,315,352
63,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,2,70,72
64,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,118,649,767
65,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,29,570,599
66,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,31,31,62
67,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,181,1782,1963
68,Mei,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,VAKSIN D1,112,509,621
