_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,1,11,12
2,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,64,365,429
3,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,9,9
4,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,1,1,2
5,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,153,607,760
6,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,9,10
12,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,2,2
15,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,293,1995,2288
18,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,2,59,61
20,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,29,223,252
21,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,2,4,6
