_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
1,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,1,26,27
2,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,78,451,529
3,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,2,11,13
4,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,167,705,872
5,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,14,418,432
6,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,15,16
7,November,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,255,2000,2255
8,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,4,30,34
9,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,41,322,363
10,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,13,13
11,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,0,1,1
12,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,65,384,449
13,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,14,293,307
14,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,4,12,16
15,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,2,10,12
16,November,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,162,864,1026
17,November,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,4,39,43
18,November,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,47,448,495
19,November,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,2,2
20,November,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,7,8,15
21,November,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,139,707,846
22,November,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,17,606,623
23,November,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,2,48,50
