_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,0,11,11
2,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,57,292,349
3,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,6,6
4,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,0,0,0
5,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,134,489,623
6,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,0,0,0
7,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,0,0,0
8,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,0,0,0
9,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,0,0,0
10,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,0,0,0
11,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,3,12,15
12,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,0,0,0
13,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,0,0,0
14,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,4,4
15,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,0,0,0
16,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,0,0,0
17,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,186,1847,2033
18,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,0,0,0
19,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,49,50
20,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,23,190,213
21,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,6,6
22,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,0,0,0
23,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,54,224,278
24,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LABORATORIUM,1,5,6
25,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,8,245,253
26,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,MATA,0,0,0
27,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PKPR,0,0,0
28,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Poli PCR-SWAB,0,0,0
29,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,5,7,12
30,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PTRM,0,0,0
31,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,RAWAT INAP,0,0,0
32,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,0,0,0
33,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,STD,0,0,0
34,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,TBC/PARU,0,0,0
35,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,149,662,811
36,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,VCT,0,0,0
37,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,1,26,27
38,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,28,296,324
39,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,1,7,8
40,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,6,4,10
41,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,110,581,691
42,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,LABORATORIUM,2,3,5
43,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,8,442,450
44,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,MATA,0,0,0
45,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,0,0,0
46,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,Poli PCR-SWAB,0,0,0
47,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,0,4,4
48,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,PTRM,0,0,0
49,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,0,2,2
50,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,SANITASI,0,0,0
51,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,STD,0,0,0
52,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,TBC/PARU,0,0,0
53,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,253,1226,1479
54,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,VCT,0,0,0
55,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,2,24,26
56,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,31,255,286
57,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,5,19,24
58,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,INSTALASI GAWAT DARURAT,0,0,0
