_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
1,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,4,30,34
2,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,68,417,485
3,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,4,5,9
4,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,165,737,902
5,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,3,427,430
6,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,0,10,10
7,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,1,5,6
8,Oktober,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,265,2033,2298
9,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,0,58,58
10,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,42,318,360
11,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,1,11,12
12,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,57,403,460
13,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,18,362,380
14,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,4,20,24
15,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,SANITASI,0,5,5
16,Oktober,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,198,964,1162
17,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,1,47,48
18,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,53,449,502
19,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,9,9
20,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,10,7,17
21,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,145,700,845
22,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,13,531,544
23,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,1,44,45
24,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,1,9,10
25,Oktober,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,259,1578,1837
26,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,3,56,59
27,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,35,305,340
28,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,0,3,3
29,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,4,94,98
30,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,54,396,450
31,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,5,210,215
32,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,12,30,42
33,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,105,1117,1222
34,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,1,15,16
35,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,32,408,440
36,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,0,4,4
37,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,59,147,206
38,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,153,978,1131
39,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,29,878,907
40,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PARU,19,180,199
41,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,62,44,106
42,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,4,7,11
43,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,3,21,24
44,Oktober,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,260,2797,3057
45,Oktober,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,1,13,14
46,Oktober,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,81,736,817
47,Oktober,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,18,74,92
48,Oktober,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,200,1060,1260
49,Oktober,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,24,767,791
50,Oktober,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,2,7,9
51,Oktober,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,193,2288,2481
52,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,1,26,27
53,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,33,508,541
54,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,10,59,69
55,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,4,11,15
56,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,150,1137,1287
57,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,7,549,556
58,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,5,29,34
59,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,8,17,25
60,Oktober,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,215,2322,2537
61,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,BATRA,6,36,42
62,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,51,274,325
63,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,3,30,33
64,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,INSTALASI GAWAT DARURAT,1,1,2
65,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,132,643,775
66,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,20,554,574
67,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,28,22,50
68,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,SANITASI,0,1,1
69,Oktober,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,259,1633,1892
70,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,136,595,731
71,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,1,33,34
72,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,66,565,631
73,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,58,61,119
74,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,75,445,520
75,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,68,911,979
76,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,2,35,37
77,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,45,48,93
78,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,6,23,29
79,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,1,58,59
80,Oktober,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,573,2448,3021
81,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,2,37,39
82,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,24,462,486
83,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,4,45,49
84,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,35,81,116
85,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,130,867,997
86,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,12,531,543
87,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,1,21,22
88,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,20,33,53
89,Oktober,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,164,2009,2173
90,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,174,665,839
91,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,5,84,89
92,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,3,183,186
93,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,57,587,644
94,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,93,115,208
95,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,INSTALASI GAWAT DARURAT,1,0,1
96,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,67,579,646
97,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,33,882,915
98,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,6,169,175
99,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,5,25,30
100,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,SANITASI,0,1,1
101,Oktober,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,366,3027,3393
102,Oktober,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,2,118,120
103,Oktober,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,38,838,876
104,Oktober,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,16,93,109
105,Oktober,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,139,787,926
106,Oktober,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,43,908,951
107,Oktober,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,10,29,39
108,Oktober,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,399,2139,2538
109,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,1,13,14
110,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,8,345,353
111,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,0,8,8
112,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,INSTALASI GAWAT DARURAT,1,0,1
113,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,66,741,807
114,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,4,518,522
115,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,89,89
116,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,2,27,29
117,Oktober,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,62,1931,1993
118,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,3,45,48
119,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,86,402,488
120,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,17,15,32
121,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,16,10,26
122,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,172,703,875
123,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,27,693,720
124,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,0,2,2
125,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,34,50,84
126,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,RAWAT INAP,0,2,2
127,Oktober,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,322,1761,2083
128,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,3,51,54
129,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,190,972,1162
130,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI SPESIALIS ,0,1,1
131,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIZI,3,14,17
132,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,INSTALASI GAWAT DARURAT,57,61,118
133,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,KIA,256,1254,1510
134,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,LANSIA,41,1395,1436
135,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PSIKOLOGI,4,36,40
136,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,RAWAT INAP,20,44,64
137,Oktober,Surabaya Selatan,Wonokromo,Puskesmas Jagir,UMUM,428,3422,3850
138,Oktober,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,BATRA,4,62,66
139,Oktober,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIGI,51,332,383
140,Oktober,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIZI,28,52,80
141,Oktober,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,KIA,92,487,579
142,Oktober,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,LANSIA,16,510,526
143,Oktober,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,PSIKOLOGI,30,65,95
144,Oktober,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,UMUM,249,1656,1905
145,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,BATRA,2,24,26
146,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIGI,62,300,362
147,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIZI,14,39,53
148,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,INSTALASI GAWAT DARURAT,5,2,7
149,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,KIA,56,255,311
150,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,LANSIA,21,358,379
151,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,PSIKOLOGI,10,28,38
152,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,UMUM,313,1852,2165
153,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,ANAK,28,268,296
154,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,BATRA,3,88,91
155,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIGI,40,385,425
156,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIZI,1,8,9
157,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,KIA,93,409,502
158,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,LANSIA,20,507,527
159,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,P2M,1,28,29
160,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,PSIKOLOGI,3,1,4
161,Oktober,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,UMUM,209,1373,1582
162,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,BATRA,4,69,73
163,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI,79,431,510
164,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI SPESIALIS ,3,470,473
165,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIZI,19,65,84
166,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,KIA,153,972,1125
167,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,LANSIA,17,824,841
168,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PARU,0,74,74
169,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PSIKOLOGI,19,53,72
170,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,SANITASI,0,2,2
171,Oktober,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,UMUM,394,2654,3048
172,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,ANAK,60,515,575
173,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,BATRA,0,81,81
174,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIGI,58,351,409
175,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIZI,25,48,73
176,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,INSTALASI GAWAT DARURAT,33,81,114
177,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,KIA,91,653,744
178,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LANSIA,29,681,710
179,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,MEDICAL CHECK UP,33,52,85
180,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,P2M,3,81,84
181,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,PSIKOLOGI,36,49,85
182,Oktober,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,RAWAT INAP,0,13,13
