_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
1,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,0,9,9
2,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,57,255,312
3,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,1,7,8
4,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,INSTALASI GAWAT DARURAT,,,0
5,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,170,545,715
6,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LABORATORIUM,,,0
7,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,,,0
8,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,MATA,,,0
9,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PKPR,,,0
10,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,Poli PCR-SWAB,,,0
11,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,0,7,7
12,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PTRM,,,0
13,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,RAWAT INAP,,,0
14,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,0,1,1
15,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,STD,,,0
16,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,TBC/PARU,,,0
17,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,244,1872,2116
18,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,VCT,,,0
19,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,6,80,86
20,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,49,206,255
21,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,0,3,3
22,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,INSTALASI GAWAT DARURAT,,,0
23,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,84,239,323
