_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
1,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,2,35,37
2,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,86,452,538
3,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,0,2,2
4,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,164,726,890
5,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,14,440,454
6,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,1,17,18
7,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,2,4,6
8,September,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,259,2061,2320
9,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,4,62,66
10,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,43,297,340
11,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,3,15,18
12,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,81,367,448
13,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,15,298,313
14,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,5,15,20
15,September,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,140,1002,1142
16,September,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,1,20,21
17,September,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,52,428,480
18,September,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,2,17,19
19,September,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,14,14,28
20,September,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,138,679,817
21,September,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,19,535,554
22,September,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,2,47,49
23,September,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,2,8,10
24,September,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,1,0,1
25,September,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,288,1472,1760
26,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,1,46,47
27,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,52,327,379
28,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,0,9,9
29,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,5,88,93
30,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,60,444,504
31,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,4,206,210
32,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,14,24,38
33,September,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,114,1166,1280
34,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,0,24,24
35,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,39,359,398
36,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,1,3,4
37,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,53,173,226
38,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,113,923,1036
39,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,80,1060,1140
40,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PARU,17,186,203
41,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,51,40,91
42,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,3,20,23
43,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,4,14,18
44,September,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,294,2751,3045
45,September,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,0,15,15
46,September,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,80,732,812
47,September,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,18,72,90
48,September,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,175,1041,1216
49,September,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,22,743,765
50,September,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,2,7,9
51,September,Surabaya Barat,Pakal,Puskesmas Benowo,RAWAT INAP,0,1,1
52,September,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,238,2302,2540
53,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,2,37,39
54,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,56,538,594
55,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,6,50,56
56,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,8,13,21
57,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,152,1104,1256
58,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,21,419,440
59,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,5,21,26
60,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,4,10,14
61,September,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,239,2607,2846
62,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,BATRA,8,38,46
63,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,34,319,353
64,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,0,15,15
65,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,INSTALASI GAWAT DARURAT,2,0,2
66,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,156,716,872
67,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,33,576,609
68,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,35,18,53
69,September,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,263,1680,1943
70,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,149,569,718
71,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,3,48,51
72,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,74,504,578
73,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,1,2,3
74,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,53,49,102
75,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,73,375,448
76,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,45,880,925
77,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LOKET,0,1,1
78,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,1,32,33
79,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,59,44,103
80,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,8,32,40
81,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,3,41,44
82,September,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,592,2439,3031
83,September,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,1,49,50
84,September,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,28,377,405
85,September,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,5,51,56
86,September,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,36,67,103
87,September,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,113,784,897
88,September,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,13,523,536
89,September,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,3,20,23
90,September,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,18,31,49
91,September,Surabaya Utara,Krembangan,Puskesmas Dupak,SANITASI,0,1,1
92,September,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,174,2138,2312
93,September,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,151,628,779
94,September,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,4,59,63
95,September,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,0,139,139
96,September,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,56,539,595
97,September,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,53,72,125
98,September,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,81,500,581
